Country,Forecast
Guinea,61.010666840425586
Comoros,59.43027655568841
Malawi,53.35328020051088
Vietnam,50.62107037455323
Mali,48.06374628325278
Tanzania,44.84644614068776
Burkina Faso,44.34118529688641
Ghana,44.04101416197966
Kenya,43.844760069255955
Zambia,39.5291266215805
Gambia,34.09020718787903
Benin,33.856615915309675
Mongolia,33.61942920087401
Nepal,31.59263421223011
Ethiopia,30.829461918914177
Bangladesh,30.73572650998298
Cambodia,30.363426165128317
Chad,27.638287921322885
Uganda,25.568736454052043
India,22.114674399874204
Rwanda,22.055544897248453
Indonesia,21.892855321584136
Malaysia,21.8516696472378
Palestine,20.752592985644
Myanmar,20.3690922951059
Bhutan,20.145471882820033
Luxembourg,19.865762051682864
Papua New Guinea,19.17017081625005
Guyana,19.143246438673373
United Arab Emirates,18.672558230657415
Turkey,18.341090444673597
Seychelles,17.690125345628104
Madagascar,17.613898866731304
Egypt,17.363199961555793
Senegal,17.21553543765178
Paraguay,16.85492418391877
Peru,16.64356178158006
Bahrain,15.84169820539232
El Salvador,15.015465527367255
Uzbekistan,14.785747369629036
Iraq,13.812403919820255
Chile,13.346531661890126
Tunisia,12.733249890977262
Morocco,12.115025073102203
Saint Helena,12.027195077143844
Qatar,11.677379255137453
Kiribati,11.620476329429536
South Sudan,11.603537915025683
Fiji,11.216408707737841
Brazil,11.163551427840844
Philippines,11.011955633894502
Angola,10.955966251726707
Honduras,10.89016160970688
Oman,10.723908245939072
Mexico,9.807567085143518
Iceland,9.380650089529922
Ecuador,9.366066198462406
Nicaragua,8.357291946802945
Bulgaria,6.611535880037138
Colombia,6.017403988432491
Niger,5.752253632105834
Cape Verde,5.669609890921848
Liberia,5.561581738043515
Solomon Islands,5.42427003450922
Syria,5.269553741633686
Thailand,5.253898834976468
Kyrgyzstan,4.980261051284572
Panama,4.573591407462757
Turkmenistan,4.454959503497122
Iran,4.325261685522847
Sudan,4.00721453925685
Somalia,3.9964861824219184
Guatemala,3.5822325230685266
Namibia,3.3588527062262443
Djibouti,3.2900537224201685
Burundi,2.658960580499837
China,2.548236960513435
Mozambique,2.2404319525918908
Czechia,2.1967765477460546
Eswatini,2.178152541389622
Saint Vincent and the Grenadines,2.168960212156449
Canada,1.9031593777601046
Democratic Republic of Congo,1.8172890378563693
Ireland,1.7975810131034393
Spain,1.6499493782094135
Greenland,1.6491043676142567
Germany,1.6490330191689253
East Timor,1.5848812988440386
Gabon,1.4768248290868229
World,1.3961991660148811
Central African Republic,1.242042142332707
Zimbabwe,1.2373945015866354
Slovakia,1.2190052479647164
Georgia,1.1302832444182656
Bolivia,1.0299620707952215
Argentina,0.9923969326284237
Saudi Arabia,0.8185897640754689
Uruguay,0.7503998884924385
United Kingdom,0.6232728798947704
French Polynesia,0.5944903605749516
Vanuatu,0.5805499788967552
Bahamas,0.5366097376744676
Poland,0.5152063772919462
Anguilla,0.41953371067499745
United States,0.3786664541608218
Guinea-Bissau,0.3408687505570356
Algeria,0.31826386597748524
Cameroon,0.20028973882781997
Yemen,0.16535421359293423
Croatia,0.14039515018251336
Albania,0.081855654476513
Faroe Islands,0.048012810667870554
Sweden,0.04676823516307138
Mauritania,-0.046877264618558456
Togo,-0.07520487136162046
Australia,-0.07747296605519693
Congo,-0.2544586121634467
Serbia,-0.389728236176623
Tajikistan,-0.42615970962063443
Armenia,-0.44747987829664737
Eritrea,-0.49230610145468745
Costa Rica,-0.5138178681359449
North Korea,-0.5641428142096316
Lesotho,-0.5881012108111463
North Macedonia,-0.6260564146096357
Azerbaijan,-0.8429469376214627
Norway,-1.048647988489094
Japan,-1.0495688721178595
Cyprus,-1.0805025092815725
Nigeria,-1.1890367650010347
Cote d'Ivoire,-1.2442821088046685
Montenegro,-1.2738852886348297
Sierra Leone,-1.4336678457238463
Bosnia and Herzegovina,-1.57090198072774
Afghanistan,-1.7944613301135774
Jordan,-1.810600688334901
Cuba,-1.8365901844691024
Botswana,-2.207955998760184
Italy,-2.3350471804400286
Lithuania,-2.607183449777409
Belarus,-2.7876202774846774
Samoa,-2.8709449054588276
Hungary,-2.8815405748278806
Mauritius,-2.9212403266586335
Austria,-3.0260464852583198
Belgium,-3.624148374500834
Cook Islands,-3.7942230452437684
Dominican Republic,-3.9740602687573983
Lebanon,-4.077868466046468
Jamaica,-4.131573035860853
Libya,-5.270658131937168
Slovenia,-5.2795419610152265
New Zealand,-5.4344983461404865
New Caledonia,-5.489638738030095
Romania,-5.516772232695459
Belize,-6.102314669666555
Sao Tome and Principe,-6.134606768046524
South Africa,-6.272221847896887
France,-6.474593959796209
Israel,-7.049173053235464
South Korea,-7.2349960286235415
Switzerland,-7.261012375404874
Andorra,-7.272147917668022
Suriname,-7.489320834869801
Haiti,-7.504365928473035
Russia,-7.656519985000827
Kazakhstan,-8.302156528299818
Kuwait,-8.398722460734248
Trinidad and Tobago,-9.656094472841204
Venezuela,-9.981339366139679
Moldova,-10.940305008925108
Netherlands,-11.500803785605001
Equatorial Guinea,-12.552940896319612
Kosovo,-13.866043534465845
Greece,-14.392504044774952
Portugal,-14.683487306346308
Estonia,-18.71765453699831
Denmark,-19.43367687831021
Laos,-22.939710241390785
Pakistan,-25.239641093389523
Brunei,-28.94528641053398
Antigua and Barbuda,-30.220075418195336
Latvia,-30.75653533005419
Hong Kong,-38.71427636737484
Finland,-42.89596875533873
Sri Lanka,-74.60668757926626
Ukraine,-248.20831164348905
